percan,catcan,Name,PastLandUse,geometry
1,high,Pointe-aux-Prairies,Industrial,-73.5132726912881|45.6926877968576
0.27027027027027,low,Pointe-aux-Prairies,Industrial,-73.5155750647336|45.6881541332529
0.215,low,Pointe-aux-Prairies,Industrial,-73.5096744015528|45.6743319429386
0.285,low,Pointe-aux-Prairies,Industrial,-73.5137854405796|45.6892684456247
0.14,low,Pointe-aux-Prairies,Industrial,-73.5109617502446|45.6937678174792
0.6725,med,Pointe-aux-Prairies,Industrial,-73.5114752022407|45.6930479167349
0.7825,med,Pointe-aux-Prairies,Industrial,-73.5130155626725|45.6912481254209
0.316666666666667,med,Pointe-aux-Prairies,Industrial,-73.5137000875942|45.6923124002411
0.7625,med,Pointe-aux-Prairies,Industrial,-73.5104485867003|45.696107378496
0.5575,med,Pointe-aux-Prairies,Industrial,-73.5127588564352|45.691608079666
1,high,Promenade-Bellerive,Industrial,-73.5092644473044|45.5994510602806
0.925,high,Promenade-Bellerive,Industrial,-73.5094049478205|45.5982070286439
0.86890243902439,high,Promenade-Bellerive,Industrial,-73.5094259921881|45.6003611443643
0.983606557377049,high,Promenade-Bellerive,Industrial,-73.5089978471746|45.6050699451177
0.827272727272727,high,Promenade-Bellerive,Industrial,-73.5092055224877|45.6046934723635
0.1325,low,Promenade-Bellerive,Industrial,-73.5088936996418|45.607565272774
0.1525,low,Promenade-Bellerive,Industrial,-73.5091483212745|45.596587358907
0.275773195876289,low,Promenade-Bellerive,Industrial,-73.5101699057439|45.5991084391438
0.2425,low,Promenade-Bellerive,Industrial,-73.5096620215904|45.6023462143448
0.225,low,Promenade-Bellerive,Industrial,-73.5091499885777|45.6068453912975
0.316455696202532,med,Promenade-Bellerive,Industrial,-73.5095847472662|45.5969586921674
0.4275,med,Promenade-Bellerive,Industrial,-73.5096614964804|45.5992868006961
0.585,med,Promenade-Bellerive,Industrial,-73.5096612802832|45.5980270416566
0.4275,med,Promenade-Bellerive,Industrial,-73.5076095530303|45.5919083630698
0.3125,med,Promenade-Bellerive,Industrial,-73.5083789051773|45.5942478640626
1,high,Thomas-Chapais,Forested,-73.5396627927959|45.6080986296376
1,high,Thomas-Chapais,Forested,-73.5378674499791|45.6073793776771
1,high,Thomas-Chapais,Forested,-73.5363290195168|45.607379877264
1,high,Thomas-Chapais,Forested,-73.5391502264955|45.6084587369959
0.979848866498741,high,Thomas-Chapais,Forested,-73.5360707109676|45.6064811675648
0.171102661596958,low,Thomas-Chapais,Forested,-73.5396745299208|45.6096901765831
0.205,low,Thomas-Chapais,Forested,-73.5345335213563|45.6063006422031
0.28,low,Thomas-Chapais,Forested,-73.5394073926076|45.6095384400952
0.222222222222222,low,Thomas-Chapais,Forested,-73.5377011906067|45.609278046384
0.27027027027027,low,Thomas-Chapais,Forested,-73.5330469597248|45.6083854049906
0.34,med,Thomas-Chapais,Forested,-73.5386380243198|45.6093587376595
0.5675,med,Thomas-Chapais,Forested,-73.5399202224176|45.6095382620433
0.3125,med,Thomas-Chapais,Forested,-73.5383814874868|45.6091788588917
0.715,med,Thomas-Chapais,Forested,-73.5345345152273|45.6079203297178
0.5,med,Thomas-Chapais,Forested,-73.5392363783614|45.6096386247653
